sample	sex	pop	source	super_pop	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19625	U	ASW	1000G	AFR	12.381749853910694	-0.508278741107472	6.698940257791905	-1.3642394226538395	-2.7367852945222495	4.072345175548436	0.22008651998062867	0.8100220816119175	0.7371763607883096	-0.8193633897897953
NA19700	U	ASW	1000G	AFR	17.418075363991218	0.43156308095996265	-0.7232901603936149	-5.365930526368714	1.7884911821601135	7.609063793790053	1.7070266943737693	-4.687036884953763	-0.01739746260469545	-9.527396395969108
NA19701	U	ASW	1000G	AFR	19.601139238368432	1.2849482908991996	-0.22370300441387347	-4.564421089782649	1.6589544520730135	3.952758626527447	-8.064344419243799	-2.8574214382924814	7.898255022227707	-1.0711327485798683
NA19703	U	ASW	1000G	AFR	21.21079987829909	0.18642571985151546	-1.6534184176905382	-5.685248901644427	3.271713289828276	6.3143180080756975	2.38726412805317	5.847111913413611	-7.884955913372579	2.824713900191191
NA19704	U	ASW	1000G	AFR	19.109028844324527	0.6528849705127528	1.9195950700248274	-2.720541089901962	-4.666539690516664	0.25632504871626455	-3.0580962688531037	6.013288565228681	2.291770714108111	13.20824593166733
NA19707	U	ASW	1000G	AFR	14.971657135163955	4.345307488941088	-1.4464311771711815	-4.709526495850205	-1.6077027608554584	-0.6901077413024944	1.0078017238031656	7.316682596917505	0.6277702411033621	-2.319739053021052
NA19711	U	ASW	1000G	AFR	21.355850705327995	2.374947596292399	-0.37796662052491525	-4.266145145740661	1.5425188711566526	2.5725322042857712	-3.6103684255255364	8.266856925115487	4.837773287362631	0.44525969975750185
NA19712	U	ASW	1000G	AFR	23.426889778808494	0.3077444019864575	-0.3652200171389519	-2.663560568002445	5.451817422061235	-3.0696271877257604	-1.0549779509818424	10.801505444801	3.478481576571984	5.988454760015446
NA19713	U	ASW	1000G	AFR	15.513367790246683	2.6113450635715583	-2.4029867703372774	-2.202335818150655	-0.5194530164678522	0.15767593007694183	-2.299074371215764	6.34861665551582	-3.303772494394187	4.624066330902936
NA19818	U	ASW	1000G	AFR	14.767769023868434	1.7728830170040921	2.868233115158438	-2.911047177283706	-5.614165296793725	-1.5799202143052022	0.6321306518283525	3.4127508734554834	3.228954783185825	-2.0009509572637296
NA19819	U	ASW	1000G	AFR	15.033301335511505	4.334852441868096	1.517889431432091	-2.526385462118881	-0.3279588527841503	3.468745165077268	-2.0048346750603496	0.12299910460354431	-2.177882709428865	-5.204247880643384
NA19834	U	ASW	1000G	AFR	16.4328212110181	1.9922120094484346	-0.22868925409240823	-5.523308285036279	-0.378364230096517	7.216804649696376	-3.037258133601289	-0.5678150654009766	0.002812310444033354	-0.08124737298359581
NA19835	U	ASW	1000G	AFR	19.346555864065987	-0.7664479985532586	-0.1823301397951634	-2.1903460457100423	-8.170958570569887	-1.5866573188103792	0.548278393758655	-0.8882632747061828	4.373498749245097	9.868947324935172
NA19900	U	ASW	1000G	AFR	18.43711390522027	1.187982655344562	-2.1214801443323585	-0.37146541942560196	7.669041800783008	-4.101768526728286	-5.467806981170265	0.6719305272963263	-2.381013728127354	4.943482470086465
